article_id,country
1,0
2,1
3,8
6,8
7,4
9,3
10,7
14,3
15,8
16,3
17,7
21,5
22,8
23,8
25,3
26,8
30,8
34,1
35,8
38,5
41,0
42,1
43,7
45,3
47,7
49,1
50,8
51,7
55,5
56,4
57,4
58,0
60,1
62,7
63,0
67,8
70,0
71,1
73,6
74,6
75,7
77,7
80,2
84,3
85,3
86,5
87,6
88,8
89,8
94,6
96,8
97,1
99,1
100,3
101,0
109,3
110,5
111,0
112,3
113,4
114,4
115,2
116,3
117,2
120,7
121,7
123,3
124,0
125,4
126,4
128,3
129,3
130,2
131,7
133,3
134,2
136,8
137,1
139,7
140,7
141,7
142,7
143,6
144,7
145,7
146,8
148,2
150,4
151,4
152,8
154,8
155,7
156,7
157,7
158,7
159,0
160,3
161,5
162,6
163,2
164,2
166,0
167,5
168,5
169,5
170,0
171,5
172,5
173,3
174,6
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,3
187,5
188,3
190,3
191,4
192,4
194,2
199,7
200,7
201,8
202,0
203,3
204,4
207,1
211,3
212,5
213,4
214,4
215,4
216,1
217,5
219,3
221,3
222,3
223,5
224,3
225,3
226,1
227,5
229,1
231,6
233,7
235,8
236,6
237,8
238,7
239,6
240,8
241,7
243,7
244,2
245,8
249,7
251,7
252,3
253,5
254,4
256,2
257,7
258,0
260,8
262,1
265,7
267,7
269,8
270,3
271,6
273,8
275,8
279,7
280,8
282,2
283,4
284,1
288,6
289,5
290,1
293,3
294,2
295,7
296,7
297,8
298,8
299,1
301,7
302,2
304,4
306,4
307,8
308,1
309,7
313,3
314,4
315,4
316,7
317,3
318,6
319,4
320,4
321,2
322,2
323,3
324,6
325,3
326,3
327,3
328,4
329,3
330,3
331,4
332,3
333,3
334,1
335,8
336,7
337,3
338,3
339,2
340,3
341,3
342,3
343,8
344,1
345,7
346,5
347,0
349,8
351,8
352,7
353,4
354,8
355,8
356,3
358,3
359,0
361,7
363,7
364,7
365,7
366,7
367,7
368,7
369,2
370,2
371,2
372,4
374,2
375,7
376,7
378,8
379,7
380,4
381,3
382,8
383,7
384,5
385,4
386,7
390,3
391,3
393,6
394,5
396,8
397,5
398,2
400,5
402,6
409,1
412,3
414,3
415,3
419,4
429,7
433,8
435,3
436,8
437,3
438,8
439,0
442,6
443,6
447,0
457,1
463,7
464,1
468,0
469,8
472,2
473,2
481,2
482,4
483,3
485,8
486,4
488,6
490,0
491,5
492,5
493,2
494,2
496,8
508,8
515,4
517,5
518,5
524,4
525,4
526,4
527,4
528,3
529,7
530,2
532,8
533,3
534,0
535,8
538,8
539,7
540,7
542,7
551,2
552,1
553,1
554,8
557,5
562,2
563,6
565,1
568,3
569,2
570,2
571,8
574,8
576,2
577,0
579,8
580,2
581,7
585,8
587,4
591,2
592,4
594,3
595,7
596,3
597,1
598,4
599,2
600,3
601,4
602,3
603,4
604,4
605,4
606,7
607,0
611,4
613,4
617,4
619,4
627,1
628,7
629,7
632,0
633,2
634,6
635,7
637,6
640,5
641,4
643,7
645,3
646,4
648,1
649,2
650,2
651,4
653,5
655,8
656,2
657,2
658,2
659,2
660,4
663,3
665,1
667,2
668,8
669,4
670,4
672,8
673,3
674,4
684,4
685,4
686,3
687,5
688,5
689,5
690,5
691,5
692,5
694,5
696,5
697,5
698,6
699,5
700,5
