article_id,country
0,0
1,1
2,2
3,3
4,9
5,5
6,9
8,7
9,8
10,9
11,2
12,9
13,4
14,4
16,7
17,5
18,2
19,2
20,5
21,4
22,9
23,9
24,9
25,4
26,0
28,9
29,9
30,9
31,5
32,6
33,5
34,8
35,6
36,8
37,9
38,1
39,2
41,9
42,8
43,9
44,3
45,4
122,8
123,5
124,5
125,5
126,5
127,7
128,1
130,8
131,5
133,9
134,5
135,8
136,9
137,9
138,8
139,5
140,1
142,5
143,7
144,5
146,5
147,8
148,8
149,5
150,1
151,1
152,0
153,8
154,5
155,9
156,8
157,8
158,4
159,6
160,9
161,8
162,2
163,7
164,5
165,8
166,8
167,8
168,8
169,8
170,8
171,3
172,1
173,2
174,3
175,0
176,9
177,5
178,3
180,8
181,5
182,1
183,8
184,2
185,5
186,5
188,5
189,5
190,2
191,9
192,8
193,3
195,4
197,9
198,5
199,5
200,5
201,5
202,5
204,4
205,2
206,8
207,4
208,4
209,5
211,5
212,2
213,5
214,5
215,7
216,7
217,7
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,8
226,7
227,5
228,5
229,4
230,8
231,8
232,8
233,3
234,1
236,8
237,4
238,8
239,8
240,8
242,2
243,5
244,6
246,6
247,8
248,9
249,8
250,5
253,8
255,5
257,1
258,1
259,4
260,6
261,4
263,5
265,5
266,5
267,8
268,6
269,2
270,4
271,8
275,5
276,9
279,4
280,6
281,5
282,8
283,9
284,5
286,8
287,9
288,2
289,7
291,5
292,5
293,2
294,0
295,7
296,5
297,4
298,9
299,8
300,8
301,3
302,8
303,8
304,1
306,9
307,5
308,0
309,3
310,4
311,8
312,6
313,8
314,8
315,8
316,8
317,8
318,5
319,2
320,5
322,5
323,8
324,2
325,0
326,6
327,5
328,7
332,4
334,5
336,5
337,5
338,5
339,4
340,1
342,5
346,6
347,8
348,7
350,7
351,0
352,9
353,5
354,8
355,8
356,8
358,1
359,6
360,3
361,8
362,5
363,1
364,0
365,6
366,7
367,0
368,9
369,9
370,8
372,1
373,1
374,9
375,7
376,9
377,3
378,4
379,0
380,8
382,2
383,6
384,6
385,3
386,5
387,6
388,3
389,2
390,6
391,2
392,4
393,4
394,0
395,3
396,9
397,8
398,8
399,2
400,3
401,9
402,8
403,0
404,2
405,2
406,3
407,9
408,5
409,5
410,5
411,5
412,9
414,5
415,9
416,9
417,7
418,4
419,9
420,0
421,9
422,0
423,9
424,8
425,9
426,6
427,9
428,9
429,1
430,2
431,0
432,3
433,3
434,8
435,7
436,5
437,5
438,1
439,9
440,6
441,0
442,0
443,9
444,6
445,5
446,9
447,8
448,8
449,8
450,3
451,9
452,5
453,5
454,8
455,0
456,0
457,6
458,0
459,9
460,0
461,0
462,3
463,2
464,4
465,9
466,6
467,3
468,3
469,3
470,3
471,6
472,5
473,3
474,9
475,8
476,5
477,8
478,3
479,9
480,5
481,5
482,6
483,9
484,8
485,0
486,2
487,9
488,9
489,9
490,6
491,8
492,8
493,7
494,2
495,8
497,7
498,7
499,6
500,0
501,9
502,5
503,7
504,5
505,2
506,2
507,5
508,5
509,9
510,6
511,9
512,0
513,3
514,3
515,8
516,5
517,0
519,7
520,9
521,5
522,2
523,5
525,1
526,7
527,5
528,9
529,5
530,0
531,9
532,7
533,4
534,9
535,8
536,9
537,3
538,5
539,2
540,2
541,5
542,5
543,7
544,6
545,7
546,7
547,4
548,7
549,8
550,8
551,0
552,9
553,5
554,0
555,0
556,9
557,8
558,5
559,0
560,7
561,7
562,2
563,7
564,3
565,3
566,1
567,5
568,9
569,6
570,0
571,9
572,4
573,1
574,9
575,9
576,5
577,5
578,6
579,1
580,8
581,5
582,2
583,5
584,5
585,5
586,0
587,3
588,7
589,7
590,2
591,3
592,1
593,1
594,5
595,7
596,5
597,7
598,5
599,0
600,8
601,9
602,5
603,8
604,5
605,4
606,6
607,7
608,7
610,3
611,5
612,1
613,6
614,2
615,2
616,1
617,6
618,3
619,9
620,7
621,4
622,8
623,1
625,5
626,6
627,7
628,9
629,8
630,6
631,9
632,0
633,1
634,5
635,0
636,9
637,9
638,7
639,2
640,0
641,0
642,8
643,8
644,9
645,3
646,2
647,4
648,4
650,5
651,8
652,8
653,5
654,7
655,0
656,3
657,8
658,4
659,6
660,7
661,5
662,2
663,0
664,0
665,9
666,1
667,2
668,7
669,8
670,3
671,5
673,7
674,3
675,9
676,5
677,8
678,9
679,9
680,8
681,5
682,7
683,5
684,6
685,5
686,9
687,5
688,5
689,7
691,4
693,9
694,5
695,0
696,6
697,8
698,9
699,6
700,0
701,6
702,3
703,3
704,5
705,9
706,5
707,7
708,9
709,9
710,0
711,0
712,9
713,5
714,1
715,9
717,1
718,8
719,1
720,9
721,4
722,8
723,5
724,3
725,0
726,7
729,9
730,3
731,8
732,8
733,1
734,5
736,0
738,9
739,2
740,2
741,5
742,3
743,8
744,4
745,2
746,7
747,7
748,2
749,9
750,5
751,7
752,5
753,9
754,5
755,2
756,1
757,1
758,1
759,2
761,0
762,7
763,8
764,5
765,8
766,7
767,9
768,8
769,5
770,3
771,3
772,3
773,9
774,9
776,2
777,8
779,6
780,7
781,5
782,9
784,0
785,0
786,9
787,3
788,5
789,8
790,6
791,9
792,7
793,9
794,6
795,3
796,6
797,1
798,8
799,8
800,8
801,8
803,0
804,0
805,8
806,0
807,0
808,9
809,0
810,5
811,5
812,6
813,9
815,9
816,0
818,7
819,5
820,0
821,7
822,7
823,9
825,5
826,5
827,8
828,9
830,8
831,7
832,1
833,8
834,8
835,1
836,2
837,3
838,3
839,3
840,3
841,6
842,5
843,9
844,6
845,9
846,4
847,8
849,1
850,8
853,8
854,5
855,8
856,5
857,7
859,2
860,8
861,1
862,9
863,8
864,9
865,0
866,9
867,9
868,8
869,9
870,7
871,6
872,8
874,6
875,9
876,7
878,3
879,5
880,8
881,4
882,7
883,6
884,9
885,9
886,7
887,5
888,6
889,9
890,9
891,9
892,9
893,9
894,9
895,9
897,5
899,7
900,9
901,9
902,4
903,3
904,0
905,9
906,1
907,4
908,8
909,4
911,4
912,4
914,1
915,1
916,1
917,7
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
932,1
933,1
934,8
935,1
936,4
937,3
938,5
939,4
940,4
941,3
944,9
945,8
946,9
947,7
948,9
949,9
950,8
951,0
952,9
953,9
955,3
956,8
957,9
958,9
959,7
960,9
961,9
962,1
963,3
964,8
965,2
966,8
967,6
968,5
970,3
971,8
972,7
973,6
975,1
976,8
977,5
978,8
979,4
981,7
982,8
983,4
984,4
985,4
987,7
988,9
989,9
992,9
993,9
994,4
996,4
997,9
998,4
999,3
1002,5
1003,6
1004,8
1005,6
1006,8
1007,9
1009,2
1010,7
1011,6
1012,9
1013,9
1014,5
1015,8
1016,8
1017,8
1018,2
1019,9
1020,9
1021,5
1022,6
1023,8
1024,1
1025,1
1026,9
1027,8
1028,9
1029,9
1030,7
1031,5
1032,9
1034,8
1035,9
1036,8
1037,9
1038,5
1039,9
1040,9
1041,5
1042,5
1043,7
1044,6
1045,1
1046,9
1047,7
1048,2
1049,2
1050,7
1052,4
1053,8
1054,8
1055,5
1056,9
1057,6
1058,5
1060,6
1061,6
1062,9
1063,8
1064,8
1066,8
1067,7
1068,9
1069,8
1071,1
1072,3
1074,7
1075,5
1076,7
1077,7
1078,8
1079,0
1080,5
1081,5
1082,6
1083,6
1084,6
1086,9
1087,9
1089,9
1090,5
1091,8
1093,5
1094,1
1095,8
1096,5
1097,8
1098,5
1099,8
1101,1
1102,8
1103,8
1104,6
1105,1
1106,5
1107,5
1108,5
1109,9
1110,6
1111,9
1112,8
1113,5
1114,9
1115,6
1116,5
1117,8
1119,1
1120,5
1122,1
1124,1
1125,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1134,6
1135,5
1136,5
1137,5
1138,3
1139,8
1141,8
1142,8
1143,6
1144,0
1145,0
1146,9
1147,9
1148,9
1149,6
1150,1
1154,0
1155,7
1156,6
1157,9
1158,8
1159,8
1162,8
1163,5
1164,8
1165,8
1166,8
1167,8
1168,4
1170,5
1171,7
1172,6
1173,4
1174,8
1175,3
1177,1
1178,5
1179,9
1180,8
1181,5
1182,5
1184,5
1186,9
1187,1
1188,1
1190,1
1191,1
1192,9
1195,6
1196,9
1197,5
1198,3
1199,6
1200,9
1201,8
1203,8
1204,9
1206,8
1207,9
1208,5
1209,8
1210,8
1211,4
1212,5
1213,5
1214,2
1215,9
1217,9
1218,1
1220,8
1221,5
1223,2
1225,1
1226,8
1228,5
1229,9
1230,9
1231,8
