article_id,country
0,0
1,1
2,2
3,3
4,4
5,5
6,6
8,7
9,8
10,9
11,2
12,6
13,6
14,4
16,8
17,1
18,2
19,2
20,5
21,5
22,6
23,4
24,7
25,4
26,0
28,4
29,4
30,9
31,4
32,6
33,9
34,8
35,5
36,8
37,7
38,1
39,2
41,3
42,8
43,4
44,9
45,4
122,8
123,6
124,5
125,5
126,8
127,9
128,1
130,8
131,5
133,9
134,5
135,8
136,7
137,6
138,8
139,5
140,1
142,5
143,5
144,5
146,6
147,4
148,8
149,5
150,1
151,1
152,9
153,8
154,5
155,9
156,8
157,1
158,4
159,6
160,9
161,1
162,3
163,7
164,9
165,8
166,8
167,8
168,8
169,8
170,8
171,3
172,5
173,2
174,3
175,0
176,6
177,6
178,3
180,8
181,5
182,3
183,8
184,2
185,5
186,5
188,5
189,5
190,2
191,9
192,8
193,3
195,4
197,9
198,5
199,5
200,5
201,5
202,6
204,4
205,2
206,8
207,4
208,4
209,5
211,5
212,2
213,5
214,5
215,5
216,7
217,6
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,4
226,7
227,5
228,5
229,4
230,8
231,8
232,8
233,3
234,5
236,8
237,4
238,8
239,8
240,8
242,2
243,6
244,6
246,5
247,0
248,6
249,8
250,5
253,4
255,4
257,0
258,0
259,4
260,6
261,4
263,5
265,5
266,5
267,8
268,6
269,2
270,4
271,8
275,5
276,6
279,7
280,6
281,5
282,8
283,9
284,5
286,8
287,3
288,2
289,8
291,5
292,5
293,9
294,5
295,6
296,5
297,4
298,9
299,4
300,8
301,3
302,5
303,8
304,1
306,3
307,4
308,0
309,3
310,8
311,4
312,6
313,8
314,4
315,8
316,8
317,8
318,5
319,2
320,5
322,5
323,1
324,2
325,0
326,0
327,5
328,5
332,4
334,5
336,4
337,4
338,6
339,4
340,1
342,5
346,1
347,8
348,9
350,0
351,0
352,9
353,5
354,8
355,8
356,8
358,1
359,8
360,3
361,8
362,5
363,1
364,0
365,6
366,5
367,0
368,4
369,4
370,8
372,1
373,1
374,9
375,8
376,9
377,3
378,4
379,0
380,8
382,2
383,0
384,6
385,3
386,6
387,5
388,3
389,2
390,6
391,8
392,4
393,4
394,0
395,8
396,9
397,8
398,8
399,2
400,3
401,9
402,8
403,0
404,2
405,2
406,3
407,9
408,5
409,5
410,5
411,5
412,9
414,5
415,6
416,9
417,6
418,4
419,6
420,0
421,9
422,0
423,9
424,8
425,6
426,9
427,9
428,6
429,1
430,2
431,0
432,3
433,3
434,8
435,7
436,5
437,6
438,1
439,6
440,5
441,6
442,0
443,6
444,6
445,5
446,6
447,8
448,8
449,8
450,3
451,9
452,5
453,5
454,8
455,0
456,0
457,9
458,0
459,9
460,0
461,0
462,3
463,2
464,4
465,9
466,6
467,3
468,1
469,3
470,3
471,8
472,5
473,3
474,9
475,8
476,5
477,8
478,3
479,9
480,9
481,5
482,6
483,3
484,8
485,0
486,2
487,9
488,9
489,9
490,9
491,8
492,8
493,0
494,2
495,8
497,0
498,5
499,5
500,0
501,9
502,6
503,8
504,6
505,2
506,2
507,5
508,5
509,9
510,6
511,9
512,0
513,3
514,3
515,8
516,5
517,0
519,0
520,9
521,6
522,2
523,5
525,1
526,0
527,6
528,6
529,9
530,0
531,9
532,5
533,4
534,9
535,8
536,9
537,0
538,5
539,2
540,2
541,5
542,7
543,0
544,7
545,7
546,7
547,8
548,8
549,8
550,8
551,0
552,9
553,5
554,0
555,0
556,6
557,8
558,5
559,0
560,7
561,9
562,2
563,4
564,3
565,3
566,1
567,5
568,9
569,6
570,0
571,7
572,4
573,1
574,3
575,9
576,5
577,9
578,6
579,1
580,8
581,5
582,2
583,9
584,5
585,5
586,0
587,3
588,7
589,2
590,2
591,3
592,1
593,1
594,9
595,9
596,5
597,6
598,5
599,0
600,8
601,9
602,5
603,8
604,5
605,4
606,6
607,0
608,7
610,3
611,5
612,1
613,6
614,2
615,5
616,1
617,5
618,3
619,9
620,0
621,4
622,8
623,1
625,5
626,6
627,6
628,9
629,8
630,5
631,9
632,0
633,1
634,5
635,0
636,7
637,0
638,4
639,2
640,0
641,0
642,4
643,8
644,9
645,3
646,2
647,4
648,4
650,5
651,8
652,8
653,5
654,6
655,0
656,3
657,4
658,4
659,6
660,0
661,5
662,2
663,0
664,0
665,9
666,8
667,2
668,0
669,8
670,3
671,6
673,0
674,3
675,9
676,1
677,8
678,9
679,9
680,8
681,6
682,6
683,5
684,6
685,5
686,9
687,5
688,6
689,0
691,4
693,9
694,5
695,0
696,6
697,8
698,6
699,5
700,0
701,9
702,3
703,3
704,9
705,9
706,5
707,9
708,6
709,9
710,0
711,0
712,6
713,5
714,1
715,6
717,5
718,8
719,9
720,9
721,4
722,1
723,8
724,3
725,6
726,0
729,6
730,3
731,8
732,8
733,1
734,5
736,0
738,9
739,2
740,2
741,5
742,3
743,5
744,4
745,2
746,5
747,6
748,2
749,9
750,5
751,5
752,0
753,9
754,5
755,2
756,1
757,3
758,1
759,2
761,0
762,0
763,8
764,5
765,5
766,6
767,6
768,8
769,5
770,3
771,3
772,3
773,6
774,6
776,2
777,8
779,6
780,5
781,5
782,9
784,0
785,0
786,9
787,3
788,8
789,8
790,6
791,9
792,0
793,6
794,6
795,3
796,6
797,1
798,8
799,8
800,8
801,8
803,0
804,0
805,8
806,0
807,0
808,6
809,0
810,4
811,5
812,5
813,9
815,9
816,0
818,6
819,5
820,0
821,6
822,5
823,6
825,5
826,5
827,8
828,9
830,8
831,9
832,5
833,8
834,8
835,8
836,2
837,3
838,0
839,3
840,3
841,6
842,6
843,9
844,6
845,9
846,8
847,8
849,1
850,1
853,8
854,4
855,8
856,4
857,4
859,2
860,8
861,1
862,9
863,5
864,9
865,0
866,9
867,9
868,8
869,6
870,7
871,8
872,8
874,5
875,9
876,0
878,1
879,6
880,8
881,4
882,5
883,6
884,9
885,9
886,0
887,5
888,6
889,9
890,4
891,3
892,4
893,4
894,9
895,9
897,5
899,7
900,9
901,9
902,4
903,3
904,0
905,6
906,5
907,8
908,8
909,8
911,4
912,0
914,1
915,1
916,1
917,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
932,1
933,1
934,8
935,1
936,4
937,3
938,5
939,2
940,4
941,3
944,9
945,8
946,9
947,8
948,9
949,9
950,8
951,0
952,6
953,6
955,0
956,8
957,4
958,4
959,7
960,9
961,9
962,5
963,3
964,8
965,0
966,8
967,5
968,5
970,3
971,8
972,7
973,5
975,1
976,8
977,5
978,8
979,4
981,6
982,8
983,4
984,4
985,4
987,0
988,9
989,9
992,9
993,9
994,4
996,4
997,9
998,4
999,1
1002,5
1003,6
1004,8
1005,0
1006,8
1007,9
1009,2
1010,5
1011,6
1012,9
1013,9
1014,5
1015,8
1016,8
1017,8
1018,2
1019,6
1020,9
1021,5
1022,5
1023,8
1024,4
1025,1
1026,9
1027,8
1028,9
1029,9
1030,5
1031,4
1032,9
1034,8
1035,6
1036,1
1037,9
1038,6
1039,9
1040,6
1041,0
1042,5
1043,8
1044,6
1045,1
1046,9
1047,0
1048,2
1049,2
1050,7
1052,1
1053,8
1054,8
1055,8
1056,9
1057,5
1058,5
1060,6
1061,9
1062,9
1063,8
1064,8
1066,8
1067,6
1068,9
1069,8
1071,1
1072,3
1074,5
1075,5
1076,6
1077,5
1078,8
1079,0
1080,5
1081,5
1082,6
1083,6
1084,6
1086,9
1087,9
1089,0
1090,5
1091,9
1093,5
1094,1
1095,5
1096,5
1097,8
1098,5
1099,8
1101,0
1102,8
1103,8
1104,6
1105,1
1106,3
1107,5
1108,5
1109,6
1110,6
1111,9
1112,8
1113,8
1114,4
1115,6
1116,5
1117,8
1119,1
1120,5
1122,1
1124,1
1125,1
1127,1
1128,1
1129,1
1130,0
1131,1
1132,1
1134,6
1135,5
1136,5
1137,5
1138,1
1139,8
1141,8
1142,8
1143,5
1144,0
1145,0
1146,9
1147,0
1148,0
1149,6
1150,1
1154,9
1155,8
1156,6
1157,9
1158,8
1159,8
1162,8
1163,8
1164,8
1165,8
1166,8
1167,8
1168,5
1170,5
1171,0
1172,6
1173,8
1174,8
1175,3
1177,1
1178,5
1179,9
1180,8
1181,5
1182,5
1184,5
1186,6
1187,1
1188,1
1190,1
1191,1
1192,6
1195,0
1196,9
1197,6
1198,3
1199,8
1200,4
1201,4
1203,8
1204,9
1206,8
1207,9
1208,6
1209,8
1210,8
1211,4
1212,5
1213,5
1214,2
1215,9
1217,3
1218,3
1220,8
1221,5
1223,2
1225,1
1226,8
1228,5
1229,9
1230,9
1231,8
