article_id,x,y
0,23.532415,-12.894259
1,34.990654,-15.958053
2,4.6656733,-75.489006
5,34.1424,-14.050283
6,32.572617,10.9121475
7,60.315655,16.341555
8,60.996483,19.389324
9,5.0590534,-41.1081
10,29.43196,20.328669
11,-7.9708676,-4.1404834
12,0.865983,-43.969456
13,31.025227,46.775345
15,13.607272,-37.297825
16,9.766917,-36.340942
18,12.216375,-3.1998138
20,-15.001956,-2.6363983
22,9.260983,-46.393185
23,-5.544576,-43.131992
31,-8.270278,69.53835
32,39.699722,-26.826614
33,50.51349,41.397243
34,-7.6004906,-61.86763
35,35.74975,-34.45759
36,34.24545,-35.037548
38,-12.779757,-18.957254
39,-15.753625,8.691082
40,32.81432,25.639912
41,33.65981,-34.446167
42,-11.322274,56.607685
43,49.810593,34.648403
44,-20.01189,-63.050587
45,31.02929,25.0396
47,61.214554,17.899242
48,7.7263875,-16.621332
49,52.707256,17.29775
51,12.677323,-63.698982
52,-48.682716,44.33365
55,1.5708789,46.180557
56,-63.908035,-14.2756405
60,-6.4930286,-60.786007
61,36.421486,-36.843998
62,35.94164,-35.444504
63,17.433605,-46.332863
65,45.93739,51.159317
67,-7.0121565,-61.52637
68,-8.0176735,-62.172253
69,-5.501034,-63.83722
72,-8.513042,44.39145
73,49.548183,-10.040634
74,35.05575,-35.84134
75,36.79429,-15.7391405
76,-8.563779,70.66026
78,-5.8304825,-12.53907
79,-46.605957,33.373207
81,50.657,36.74587
82,17.16343,-62.266647
84,13.772209,-35.95769
85,-31.527456,15.25513
87,8.69941,-33.144978
89,29.996666,24.401022
90,26.328606,-4.694232
94,43.16913,63.981377
95,-11.641277,65.72312
96,30.415308,-40.787205
98,-14.712456,22.993095
99,9.119718,-43.704372
100,-4.004871,-57.529644
102,-1.7176143,-47.03776
103,13.660342,-88.214836
104,10.4244375,-34.785107
106,42.834568,64.41909
107,6.868004,48.012688
108,39.056606,-16.507767
109,-15.167348,-62.54098
110,33.586567,-17.807539
111,12.061303,-33.303017
112,8.516819,-40.60159
113,27.50311,-17.502045
114,15.106277,26.11142
115,3.5574245,56.84918
116,2.425771,-22.146101
117,2.5986915,-22.284466
118,23.889954,33.400715
119,5.5777397,-17.58909
120,9.569511,-16.423141
121,-44.775948,45.430584
122,-29.627235,16.214838
123,14.147374,-87.731155
124,29.981422,49.15131
125,-4.4169536,44.41321
126,6.2019367,-41.319313
127,-3.4432237,-47.659786
128,21.310331,31.674368
129,-6.4414716,-71.29238
130,30.1129,22.772303
131,30.11421,22.16355
132,26.034548,38.378838
133,29.8264,42.242676
134,-7.326983,-30.519999
135,42.45063,65.06378
136,-4.4545684,46.171833
137,31.447577,63.655983
138,31.700516,63.752384
139,31.375616,64.66002
140,30.832869,63.43648
141,32.151333,63.924732
142,31.740658,64.45018
143,33.041996,63.47266
144,31.674477,65.25594
