article_id,x,y
0,29.053013,9.414838
1,-24.793385,3.6775496
2,-41.0602,50.122253
5,-25.95628,2.4805672
6,-12.742252,1.9719266
7,1.0277168,-21.348763
8,6.0992827,-14.869799
9,7.1012735,39.437897
10,-25.751303,-12.489997
11,-12.760427,-3.5811634
12,-0.18261547,52.842083
13,-26.851795,-34.703606
15,-6.935692,52.130215
16,-9.273628,51.240517
18,16.834461,-3.4889567
20,12.269901,23.84842
22,3.928422,54.877144
23,2.3928456,55.6109
31,-12.143265,-60.293644
32,26.367622,28.43297
33,-16.993563,-45.685738
34,-42.806824,20.59392
35,-51.557224,15.323897
36,-52.177444,16.81449
38,14.39691,9.931579
39,-12.872236,-1.4182776
40,-44.504627,-43.788994
41,-51.77377,16.788124
42,-1.8582512,-55.412674
43,-14.343837,-40.95228
44,-27.20803,49.349735
45,-21.21308,-5.443798
47,1.8497151,-16.99656
48,-24.581242,12.947988
49,-49.291885,-8.40875
51,-36.930027,33.012108
52,41.321423,-40.96585
55,6.021424,-34.225887
56,62.320057,14.6014595
60,-40.6958,21.54139
61,-52.779755,15.362188
62,-53.619484,15.431589
63,14.672902,52.497314
65,-37.879036,-37.339924
67,-41.715935,21.047302
68,-42.380405,21.439177
69,-43.073914,24.00847
72,10.291816,-52.148537
73,21.810474,17.78689
74,-52.470673,15.386178
75,-24.469656,2.0679657
76,-11.985369,-61.08885
78,-13.299399,-3.7810268
79,37.04622,-14.498903
81,-15.824862,-43.231483
82,-35.8597,35.43998
84,-11.716156,52.420795
85,40.44681,-4.4047494
87,-8.207689,47.220493
89,-4.2466307,-7.365569
90,15.006241,19.795162
94,-50.897835,-39.73357
95,-10.68835,-59.305477
96,-3.631768,32.606316
98,15.60811,-15.431247
99,5.1873593,49.30447
100,-19.4243,40.343086
102,1.0998303,59.453236
103,16.166674,67.314186
104,-14.029243,47.959454
106,-52.146435,-38.79107
107,7.3864436,-39.79662
108,-18.382246,5.995243
109,-26.077362,43.691982
110,-15.687637,5.5963454
111,-16.257513,47.994946
112,-4.3088684,52.760025
113,-15.67164,3.7800972
114,-5.502763,-27.120716
115,22.907585,-33.255093
116,-6.5939765,33.497402
117,-5.4176493,33.4301
118,-23.75604,-20.480062
119,-26.376366,-9.595571
120,-18.147457,44.329765
121,44.195538,-37.70257
122,37.91917,-8.961669
123,16.967514,67.27315
124,-26.883228,-38.179073
125,9.06142,-54.88072
126,8.334762,40.673573
127,3.2926867,59.73125
128,12.368028,-4.7931943
129,-42.746456,43.109955
130,-26.203308,-14.338923
131,-25.412415,-13.700772
132,-30.371267,-19.28195
133,-29.664467,-25.856651
134,-21.099043,35.568203
