article_id,country
0,1
1,1
2,2
5,1
6,5
7,5
8,5
9,7
10,8
11,4
12,5
13,8
15,7
16,7
18,5
20,4
22,7
23,7
31,6
32,1
33,8
34,2
35,1
36,1
38,7
39,4
40,8
41,1
42,6
43,8
44,2
45,8
47,5
48,1
49,5
51,2
52,3
55,6
56,0
60,2
61,1
62,1
63,7
65,8
67,2
68,2
69,2
72,6
73,1
74,1
75,1
76,6
78,1
79,3
81,8
82,2
84,7
85,4
87,7
89,8
90,1
94,8
95,6
96,7
98,4
99,7
100,2
102,7
103,7
104,7
106,8
107,6
108,1
109,2
110,1
111,7
112,7
113,1
114,8
115,6
116,1
117,1
118,8
119,1
120,1
121,3
122,4
123,7
124,8
125,6
126,7
127,7
128,8
129,2
130,8
131,8
132,8
133,8
134,7
135,8
136,6
137,8
138,8
139,8
140,8
141,8
142,8
143,8
144,8
145,7
146,1
147,1
148,8
149,5
150,2
152,4
154,1
155,3
156,6
159,4
161,7
162,7
163,7
164,4
165,1
166,6
167,6
168,6
169,8
171,4
172,7
173,8
174,8
175,7
176,6
177,7
178,4
179,1
180,4
181,4
182,7
183,2
185,4
186,1
187,7
188,8
190,1
192,7
193,5
196,7
197,5
198,2
199,5
200,6
201,6
202,2
203,8
204,4
205,4
206,2
207,8
208,4
209,2
210,2
211,1
212,4
213,7
214,7
215,4
216,6
217,6
218,4
219,4
220,0
221,4
222,4
223,4
224,8
225,2
226,4
227,2
228,4
229,8
230,0
231,4
232,3
233,6
234,4
235,7
236,1
237,2
238,4
239,6
240,5
241,1
242,2
243,2
244,2
245,7
246,7
247,6
248,3
249,7
250,3
251,8
252,7
253,8
254,7
255,1
256,7
257,6
258,3
259,7
260,4
261,7
262,5
263,6
264,2
265,6
266,7
267,4
268,1
269,7
270,4
271,7
272,4
273,7
274,7
275,4
276,1
277,7
278,6
279,7
280,4
281,7
283,7
284,0
286,3
287,2
288,0
290,3
291,1
292,4
293,1
294,1
295,6
296,4
297,1
298,5
299,1
300,7
301,1
302,7
303,7
304,3
305,6
306,6
307,7
308,0
309,5
310,5
311,5
312,7
313,3
314,6
315,5
316,1
317,7
318,7
319,7
320,7
321,6
322,7
323,7
324,8
325,2
326,7
327,8
329,6
330,1
331,6
332,5
333,6
334,6
335,3
336,7
337,7
338,2
339,7
340,7
341,7
342,7
343,7
344,4
345,8
346,8
347,3
348,4
349,7
350,2
351,2
352,7
353,7
354,1
356,4
357,2
358,7
359,1
361,5
362,7
363,2
364,1
365,7
366,2
367,0
368,6
369,7
370,6
371,5
372,0
373,6
374,6
375,2
377,7
379,7
380,7
381,7
382,2
383,7
384,8
385,7
388,4
389,3
390,2
392,8
393,8
394,6
395,4
396,1
397,3
398,3
399,6
400,1
401,8
402,2
403,2
404,6
405,4
406,7
407,3
408,8
409,4
410,8
411,0
412,8
413,1
415,2
416,7
417,7
418,5
419,1
420,1
421,7
422,3
423,7
424,1
425,3
426,6
427,8
428,0
429,1
430,7
431,7
432,7
433,6
434,7
435,8
436,7
437,1
438,5
439,2
440,7
441,8
442,2
443,3
445,7
446,7
447,7
448,4
449,7
451,7
452,4
453,7
454,3
455,1
456,2
457,3
459,7
460,6
462,8
476,7
477,7
478,7
479,7
481,7
482,7
483,7
492,1
493,6
494,5
495,1
497,2
498,3
500,6
501,6
504,7
506,8
507,6
508,5
509,7
510,1
511,7
512,1
513,6
514,1
515,4
516,1
519,4
520,8
521,7
522,7
523,2
524,4
526,7
527,1
528,1
529,6
530,1
531,4
532,7
533,1
534,6
535,8
537,7
538,7
539,6
541,1
542,2
543,0
544,0
546,8
548,4
549,3
550,3
551,8
552,4
553,8
554,8
555,7
557,5
559,7
560,2
561,7
562,6
563,6
564,1
565,7
566,1
567,1
568,8
569,1
570,6
574,8
575,1
576,1
579,2
581,8
583,2
584,1
586,8
587,8
588,8
589,8
590,8
591,8
592,8
593,1
594,6
595,5
596,1
598,7
599,8
600,5
601,6
603,7
604,6
605,6
606,4
607,2
608,8
609,1
610,6
611,8
612,8
613,2
614,1
615,1
617,3
618,4
619,3
620,4
621,1
622,5
623,1
624,2
625,3
626,2
627,7
629,4
630,4
632,4
633,7
636,5
637,7
639,2
640,1
641,5
643,2
644,0
646,8
647,3
649,1
650,7
651,4
652,8
653,8
655,5
657,5
659,1
660,7
662,6
663,6
664,4
665,8
666,8
667,6
668,4
669,1
670,8
671,4
676,4
677,5
678,8
680,3
682,6
684,3
685,2
687,1
688,4
689,1
690,4
693,4
694,4
695,7
696,7
697,7
698,8
699,4
700,4
701,4
702,4
704,7
706,6
708,1
709,8
710,6
711,5
712,5
713,7
715,6
717,7
718,1
719,5
720,7
721,1
722,4
723,4
724,2
727,8
730,1
731,1
733,0
734,2
736,4
737,1
738,8
739,3
741,4
742,6
743,6
744,7
745,1
746,3
747,0
749,5
750,5
751,5
752,5
753,5
754,5
755,8
756,4
758,4
759,8
760,4
761,4
762,7
763,1
764,4
765,4
766,4
767,8
768,8
769,1
770,4
771,1
772,3
774,4
775,4
776,4
777,8
778,4
779,4
780,1
781,4
782,4
784,4
785,4
786,4
787,8
788,8
789,4
790,4
791,4
792,1
793,3
794,6
795,4
796,4
798,4
799,1
800,7
801,5
802,1
803,4
804,6
805,7
806,5
808,7
810,8
811,3
812,1
813,2
814,1
815,8
816,4
817,1
818,1
820,4
821,7
822,7
823,1
824,7
825,2
826,8
828,3
829,1
830,1
831,7
832,7
833,1
834,7
835,6
837,7
838,7
839,7
840,7
843,7
844,5
846,3
848,8
849,8
850,5
851,4
853,4
854,4
855,6
856,6
857,4
858,8
859,5
860,4
862,1
863,6
864,3
865,2
866,7
867,1
869,4
870,4
871,4
872,4
873,4
874,4
875,8
877,6
878,7
879,4
880,8
881,0
882,1
883,4
884,4
885,0
886,3
888,2
890,7
891,0
892,1
893,8
897,3
898,3
899,5
900,2
901,7
902,4
903,6
906,1
908,4
909,0
910,4
911,4
913,7
914,7
915,4
916,1
918,8
919,0
922,3
923,0
926,8
929,1
930,7
931,4
932,8
933,6
934,4
935,1
936,4
937,7
942,5
944,8
945,7
946,5
947,1
948,8
949,1
951,3
952,8
953,1
954,5
955,3
956,5
957,4
959,5
961,6
962,1
963,1
964,4
965,1
966,7
967,1
969,4
970,8
971,1
973,5
974,6
975,8
976,3
977,6
981,4
982,8
983,6
984,6
986,8
988,6
989,2
990,2
991,2
992,2
993,2
994,6
995,4
997,0
998,1
999,1
1000,4
1001,1
1002,7
1003,1
1004,4
