article_id,country
0,1
1,3
2,2
5,3
6,4
7,5
8,5
9,4
10,3
11,4
12,7
13,8
15,7
16,7
18,3
20,4
22,7
23,7
31,8
32,3
33,8
34,2
35,1
36,1
38,7
39,4
40,8
41,2
42,6
43,8
44,2
45,4
47,5
48,4
49,5
51,2
52,0
55,6
56,0
60,2
61,1
62,1
63,7
65,2
67,2
68,2
69,2
72,6
73,3
74,1
75,3
76,8
78,4
79,3
81,8
82,2
84,7
85,4
87,7
89,4
90,3
94,8
95,8
96,1
98,1
99,7
100,7
102,7
103,7
104,7
106,8
107,6
108,3
109,2
110,3
111,7
112,7
113,3
114,8
115,6
116,1
117,1
118,3
119,3
120,3
121,0
122,6
123,7
124,8
125,6
126,7
127,7
128,1
129,2
130,3
131,3
132,8
133,8
134,7
135,8
136,6
137,8
138,8
139,8
140,8
141,8
142,8
143,8
144,8
145,7
146,3
147,1
148,8
149,5
150,2
152,4
154,4
155,0
156,6
159,4
161,7
162,7
163,7
164,3
165,4
166,6
167,8
168,8
169,8
171,4
172,7
173,8
174,8
175,7
176,6
177,7
178,4
179,1
180,6
181,4
182,7
183,2
185,4
186,1
187,7
188,8
190,3
192,7
193,5
196,1
197,5
198,2
199,5
200,8
201,6
202,2
203,8
204,4
205,1
206,2
207,8
208,4
209,2
210,2
211,1
212,1
213,7
214,7
215,4
216,6
217,6
218,1
219,6
220,0
221,1
222,4
223,4
224,3
225,2
226,6
227,2
228,6
229,8
230,0
231,4
232,3
233,6
234,6
235,7
236,1
237,2
238,4
239,6
240,5
241,5
242,2
243,2
244,2
245,7
246,7
247,6
248,0
249,7
250,0
251,8
252,7
253,8
254,3
255,3
256,7
257,6
258,0
259,1
260,4
261,7
262,5
263,6
264,2
265,6
266,7
267,4
268,3
269,7
270,1
271,7
272,6
273,7
274,7
275,6
276,3
277,7
278,6
279,1
280,4
281,7
283,7
284,0
286,0
287,2
288,0
290,5
291,1
292,4
293,3
294,1
295,6
296,4
297,1
298,5
299,3
300,7
301,3
302,7
303,7
304,0
305,8
306,6
307,7
308,0
309,5
310,5
311,5
312,7
313,0
314,8
315,5
316,1
317,1
318,1
319,7
320,7
321,6
322,7
323,7
324,8
325,2
326,7
327,8
329,6
330,3
331,6
332,6
333,6
334,6
335,0
336,7
337,7
338,2
339,7
340,7
341,7
342,7
343,7
344,6
345,3
346,4
347,0
348,4
349,7
350,2
351,2
352,7
353,7
354,3
356,4
357,2
358,7
359,3
361,5
362,7
363,2
364,4
365,7
366,2
367,0
368,6
369,7
370,8
371,5
372,0
373,6
374,8
375,2
377,1
379,7
380,7
381,7
382,2
383,7
384,8
385,7
388,1
389,3
390,2
392,8
393,8
394,6
395,4
396,1
397,0
398,0
399,6
400,3
401,8
402,1
403,2
404,6
405,6
406,7
407,0
408,4
409,6
410,4
411,0
412,8
413,3
415,2
416,7
417,7
418,5
419,3
420,3
421,7
422,0
423,7
424,3
425,6
426,6
427,8
428,6
429,1
430,7
431,7
432,7
433,8
434,7
435,8
436,7
437,3
438,5
439,2
440,7
441,8
442,2
443,0
445,7
446,7
447,7
448,4
449,7
451,7
452,4
453,7
454,6
455,3
456,2
457,0
459,1
460,6
462,8
476,7
477,7
478,7
479,7
481,7
482,7
483,7
492,3
493,3
494,5
495,2
497,7
498,6
500,6
501,6
504,7
506,8
507,6
508,5
509,7
510,4
511,7
512,1
513,6
514,1
515,4
516,3
519,1
520,8
521,7
522,7
523,7
524,4
526,2
527,3
528,3
529,6
530,3
531,6
532,7
533,3
534,6
535,8
537,1
538,7
539,8
541,3
542,2
543,0
544,0
546,8
548,3
549,6
550,6
551,8
552,1
553,8
554,8
555,7
557,5
559,7
560,2
561,7
562,8
563,8
564,3
565,7
566,3
567,1
568,8
569,3
570,8
574,8
575,1
576,1
579,2
581,8
583,2
584,1
586,8
587,8
588,8
589,8
590,8
591,8
592,8
593,3
594,6
595,5
596,1
598,7
599,8
600,5
601,6
603,7
604,6
605,6
606,4
607,2
608,3
609,1
610,6
611,8
612,8
613,2
614,3
615,3
617,0
618,4
619,6
620,4
621,1
622,3
623,3
624,2
625,0
626,2
627,7
629,4
630,4
632,4
633,7
636,1
637,7
639,2
640,4
641,5
643,2
644,3
646,8
647,0
649,3
650,7
651,4
652,8
653,8
655,4
657,3
659,3
660,7
662,8
663,6
664,1
665,8
666,8
667,8
668,4
669,3
670,8
671,4
676,4
677,5
678,8
680,0
682,8
684,0
685,2
687,3
688,4
689,1
690,4
693,1
694,1
695,7
696,7
697,7
698,8
699,4
700,1
701,4
702,1
704,7
706,6
708,3
709,8
710,8
711,5
712,5
713,7
715,6
717,7
718,2
719,5
720,7
721,3
722,4
723,4
724,4
727,3
730,3
731,3
733,0
734,2
736,4
737,3
738,8
739,0
741,4
742,8
743,8
744,7
745,3
746,0
747,0
749,5
750,5
751,5
752,5
753,5
754,5
755,8
756,4
758,4
759,8
760,1
761,6
762,7
763,3
764,4
765,1
766,4
767,8
768,8
769,3
770,1
771,3
772,0
774,4
775,4
776,6
777,8
778,6
779,1
780,3
781,1
782,1
784,1
785,4
786,6
787,8
788,8
789,1
790,1
791,1
792,1
793,0
794,6
795,6
796,1
798,4
799,3
800,7
801,5
802,4
803,4
804,6
805,7
806,5
808,7
810,5
811,6
812,1
813,7
814,8
815,8
816,4
817,3
818,3
820,4
821,7
822,7
823,3
824,7
825,2
826,8
828,0
829,1
830,3
831,3
832,7
833,3
834,7
835,6
837,7
838,7
839,7
840,7
843,7
844,5
846,0
848,8
849,8
850,4
851,4
853,4
854,6
855,6
856,6
857,6
858,8
859,5
860,4
862,4
863,6
864,0
865,3
866,7
867,1
869,4
870,4
871,6
872,4
873,4
874,4
875,8
877,8
878,7
879,4
880,8
881,0
882,3
883,6
884,4
885,0
886,0
888,2
890,7
891,0
892,3
893,8
897,0
898,0
899,5
900,2
901,7
902,1
903,6
906,3
908,6
909,3
910,1
911,6
913,7
914,7
915,1
916,3
918,8
919,0
922,0
923,0
926,8
929,1
930,7
931,4
932,3
933,6
934,4
935,3
936,4
937,7
942,5
944,8
945,7
946,5
947,4
948,8
949,3
951,0
952,8
953,3
954,8
955,0
956,5
957,4
959,5
961,6
962,3
963,4
964,3
965,3
966,7
967,3
969,4
970,8
971,3
973,5
974,6
975,8
976,0
977,6
981,4
982,8
983,6
984,8
986,8
988,6
989,2
990,2
991,2
992,2
993,2
994,6
995,4
997,0
998,4
999,4
1000,1
1001,3
1002,7
1003,3
1004,4
1005,8
1006,4
1007,5
1008,7
1009,0
1010,1
1011,7
1012,1
1014,7
1016,4
1017,6
1019,8
1020,8
1021,1
1022,1
1023,2
1024,8
1025,2
1026,4
1027,7
1028,8
1029,2
1030,7
1031,7
1032,8
1033,4
1035,6
1036,8
1037,3
1039,3
1041,2
1042,6
1044,1
1045,1
1047,1
1049,1
1051,1
1054,1
1056,1
1057,1
1059,4
1060,1
1062,1
1066,1
1067,3
1068,4
1070,7
1071,3
1072,1
1073,6
1074,7
1075,7
1076,0
1077,3
1078,8
1079,0
1080,4
1081,7
1082,4
1083,8
1084,7
1085,0
1086,8
1088,7
1090,8
1091,2
1093,5
1094,8
1097,8
1099,5
1100,8
1101,6
1102,2
1103,8
1104,4
1105,5
1106,7
1107,8
1108,6
1109,5
1110,1
1111,1
1117,7
1118,6
1119,3
1120,4
1121,4
1122,8
1123,8
1124,3
1125,8
1128,4
1129,4
1130,3
1131,8
1133,3
1135,7
1136,8
1137,2
1138,1
1139,3
1140,2
1141,3
1142,6
1144,3
1145,2
1147,8
1148,5
1149,5
1150,2
1151,8
1152,8
1153,5
1154,8
1155,8
1158,2
1159,8
1160,3
1162,7
1164,6
1165,4
1166,0
1167,3
1168,2
1169,2
1170,0
1171,7
1172,0
1173,5
1174,8
1175,7
1176,8
1177,4
1178,4
1179,1
1180,8
1181,7
1182,3
1183,3
1184,1
1185,2
1186,7
1187,7
1188,5
1189,5
1190,3
1195,4
1197,7
1199,3
1200,7
1201,1
1202,3
1203,3
1204,0
1205,3
1206,8
1207,6
1208,7
1209,0
1210,2
1212,0
1213,0
1214,8
1215,7
1216,4
1217,0
1219,4
1220,6
1221,7
1223,1
1224,7
1225,8
1226,8
1227,8
1228,0
1231,4
1232,4
1238,5
1239,8
1240,5
1241,3
1242,3
1243,0
1244,2
1247,2
1248,8
1249,3
1251,3
1253,7
1254,8
1255,4
1256,6
1258,8
1260,8
1261,8
1264,7
1265,5
1266,4
1267,6
1269,7
1270,7
1271,1
1272,6
1273,8
1274,6
1275,8
1276,4
1277,3
1279,2
1280,7
1282,8
1283,8
1284,3
1285,1
1286,1
1288,6
1289,0
1291,8
1292,6
1294,3
1297,3
1299,3
1300,3
1303,7
1304,5
1305,3
1306,3
1307,3
1308,3
1310,5
1311,3
1314,6
1317,3
1318,2
1319,3
1320,7
1321,4
1327,2
1328,3
1331,3
1332,1
1334,5
1335,8
1336,8
1337,4
1338,5
1346,7
1347,1
1349,3
1355,6
1358,2
1362,2
1363,3
1364,2
1366,8
1367,6
1368,3
1372,3
1373,2
1374,6
1375,6
1377,0
1378,7
1381,4
1382,0
1383,2
1398,4
1399,2
1400,7
1401,1
1402,1
1407,2
1408,0
1411,4
1412,6
1413,8
1416,2
1417,8
1418,8
1419,3
1422,3
1425,1
1427,0
1428,2
1432,4
1434,0
1435,3
1436,3
1437,3
1440,2
1441,5
1443,8
1444,2
1445,7
1446,7
1447,8
1448,8
1450,8
1451,6
1452,6
1455,6
1457,8
1459,3
1462,6
1465,1
1467,7
1468,6
1469,6
1470,6
1472,8
1477,4
1478,8
1480,1
1481,2
1482,8
1484,3
1485,0
1486,0
1487,4
1488,4
1489,7
1490,2
1491,3
1492,7
1494,7
1496,1
1500,2
1501,8
1502,8
1505,3
1507,3
1508,8
1509,0
1511,8
1514,1
1515,6
1517,5
1518,5
1520,2
1521,0
1522,6
1523,0
1526,8
1527,2
1528,2
1532,6
1533,4
1535,1
1536,0
1537,8
1541,6
1544,6
1545,2
1548,0
1549,6
1551,0
1552,4
1553,4
1554,0
1555,3
1559,8
1560,6
1562,1
1563,2
1568,7
1569,3
1571,2
1573,8
1575,4
1576,8
1579,8
1581,0
1583,2
1584,3
1585,2
1589,8
1590,8
1592,3
1593,7
1595,3
1597,3
1598,7
1599,7
1601,8
1602,4
1603,4
1605,3
1606,3
1607,2
1608,0
1611,4
1612,0
1614,0
1615,0
1617,0
1618,0
1620,6
1622,1
1623,0
1627,1
1629,6
1631,2
1632,0
1635,0
1636,3
1637,2
1638,7
1641,7
